,enumeration_type,number,last_updated_epoch,created_epoch,other_names,addresses,taxonomies,identifiers,basic.organization_name,basic.organizational_subpart,basic.enumeration_date,basic.last_updated,basic.status,basic.authorized_official_first_name,basic.authorized_official_last_name,basic.authorized_official_middle_name,basic.authorized_official_telephone_number,basic.authorized_official_title_or_position,basic.authorized_official_name_prefix,basic.name,basic.first_name,basic.last_name,basic.middle_name,basic.credential,basic.sole_proprietor,basic.gender,basic.name_prefix,basic.authorized_official_credential,basic.certification_date,basic.authorized_official_name_suffix,basic.name_suffix,practiceLocations,endpoints,basic.parent_organization_ein,basic.parent_organization_legal_business_name,basic.reactivation_date,basic.deactivation_date
0,NPI-2,1023277746,1212710400,1212710400,"[{'organization_name': 'DENTAL CLINIC', 'code': '3', 'type': 'Doing Business As'}]","[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1101 TENNESSEE ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716015801', 'telephone_number': '870-543-2341', 'fax_number': '870-535-4716'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': 'PO BOX 1285', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716131285', 'telephone_number': '870-543-2341', 'fax_number': '870-535-4716'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': '', 'license': '', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]","[{'identifier': '102953631', 'code': '05', 'desc': 'MEDICAID', 'state': 'AR', 'issuer': ''}]",JEFFERSON COMPREHENSIVE CARE SYSTEM INC,NO,2008-06-06,2008-06-06,A,LARNELL,DAVIS,W,870-543-2380,EXECUTIVE DIRECTOR,MR.,JEFFERSON COMPREHENSIVE CARE SYSTEM INC,,,,,,,,,,,,,,,,,
1,NPI-1,1164432340,1183852800,1155081600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1616 S CHERRY ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716016227', 'telephone_number': '870-534-2151'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1616 S CHERRY ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716016227'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2898'}]",[],,,2006-08-09,2007-07-08,A,,,,,,,CLARK MICHAEL,MICHAEL,CLARK,D,DDS,YES,M,,,,,,,,,,,
2,NPI-2,1316383821,1368403200,1368403200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1616 S CHERRY ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716016227', 'telephone_number': '870-534-2151'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1616 S CHERRY ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716016227'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2898', 'taxonomy_group': '193200000X MULTI-SPECIALTY GROUP'}]",[],"MICHAEL D. CLARK, DDS, PA",NO,2013-05-13,2013-05-13,A,MICHAEL,CLARK,,870-534-2151,OWNER,DR.,"MICHAEL D. CLARK, DDS, PA",,,,,,,,,,,,,,,,,
3,NPI-1,1477630341,1183852800,1162252800,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '2508 S CHERRY ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716016446', 'telephone_number': '870-534-7373', 'fax_number': '870-534-7660'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '2508 S CHERRY ST', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716016446', 'telephone_number': '870-534-7373', 'fax_number': '870-534-7660'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '2323'}]",[],,,2006-10-31,2007-07-08,A,,,,,,,TEMPLE J.,J.,TEMPLE,GREG,DDS,YES,M,DR.,,,,,,,,,,
4,NPI-2,1093979098,1216339200,1216339200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '7215 SHERIDAN RD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716023214', 'telephone_number': '870-535-4050', 'fax_number': '870-535-2819'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '7215 SHERIDAN RD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716023214', 'telephone_number': '870-535-4050', 'fax_number': '870-535-2819'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': 'AR', 'license': 'AR2649'}]",[],DONNA D. MASSEY D.D.S.,NO,2008-07-18,2008-07-18,A,DONNA,MASSEY,D.,870-535-4050,OWNER,DR.,DONNA D. MASSEY D.D.S.,,,,,,,,DDS,,,,,,,,,
5,NPI-2,1609471895,1607442540,1606953600,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '7197 SHERIDAN RD STE 115', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716023261', 'telephone_number': '870-267-1423'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '7197 SHERIDAN RD STE 115', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716023261', 'telephone_number': '870-267-1423', 'fax_number': '870-267-1424'}]","[{'code': '261QD0000X', 'desc': 'Clinic/Center Dental', 'primary': True, 'state': '', 'license': ''}]","[{'identifier': '102144608', 'code': '05', 'desc': 'MEDICAID', 'state': 'AR', 'issuer': ''}]","TERRY L BOONE DDS, PA",NO,2020-12-03,2020-12-08,A,TERRY,BOONE,L,870-267-1423,OWNER,DR.,"TERRY L BOONE DDS, PA",,,,,,,,"D.D.S.,M.S",2020-12-08,,,,,,,,
6,NPI-1,1427126135,1183852800,1164931200,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '7215 SHERIDAN ROAD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '71602', 'telephone_number': '870-535-4050', 'fax_number': '870-535-2819'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '7215 SHERIDAN ROAD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '71602', 'telephone_number': '870-535-4050', 'fax_number': '870-535-2819'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '2649'}]",[],,,2006-12-01,2007-07-08,A,,,,,,,MASSEY DONNA,DONNA,MASSEY,D,DDS,NO,F,DR.,,,,,,,,,,
7,NPI-2,1558484378,1598086323,1175990400,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '8426 DOLLARWAY RD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716022811', 'telephone_number': '501-626-1830'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '8426 DOLLARWAY RD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716022811', 'telephone_number': '501-626-1830'}]","[{'code': '122300000X', 'desc': 'Dentist', 'primary': True, 'state': 'AR', 'license': '3471', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],"HATHAWAY FAMILY DENTISTRY, P.A.",NO,2007-04-08,2020-08-22,A,BRADLEY,HATHAWAY,WYATT,501-626-1830,PRESIDENT,DR.,"HATHAWAY FAMILY DENTISTRY, P.A.",,,,,,,,D.D.S.,,,,,,,,,
8,NPI-1,1376691873,1183852800,1168214400,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '7197 SHERIDAN RD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716023207', 'telephone_number': '870-267-1423', 'fax_number': '870-267-1424'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '7197 SHERIDAN RD', 'address_2': '', 'city': 'WHITE HALL', 'state': 'AR', 'postal_code': '716023207', 'telephone_number': '870-267-1423', 'fax_number': '870-267-1424'}]","[{'code': '1223P0221X', 'desc': 'Dentist Pediatric Dentistry', 'primary': True, 'state': 'AR', 'license': 'AR2345'}]",[],,,2007-01-08,2007-07-08,A,,,,,,,BOONE TERRY,TERRY,BOONE,LYNN,"DDS,MS",YES,M,DR.,,,,,,,,,,
9,NPI-2,1316330681,1426032000,1426032000,[],"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '6814 PRINCETON PIKE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716029411', 'telephone_number': '870-267-6398'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '6814 PRINCETON PIKE', 'address_2': '', 'city': 'PINE BLUFF', 'state': 'AR', 'postal_code': '716029411'}]","[{'code': '1223G0001X', 'desc': 'Dentist General Practice', 'primary': True, 'state': 'AR', 'license': '3193', 'taxonomy_group': '193400000X SINGLE SPECIALTY  GROUP'}]",[],CORRECT CARE SOLUTIONS,NO,2015-03-11,2015-03-11,A,JEFFREY,STIEVE,,870-267-6398,REGIONAL MEDICAL DIRECTOR,DR.,CORRECT CARE SOLUTIONS,,,,,,,,M.D.,,,,,,,,,
