,zip_code,H001001
1,38769,1
2,65729,45
3,65733,297
4,65761,99
5,71601,7411
6,71602,7630
7,71603,14760
8,71630,247
9,71631,414
10,71635,5803
11,71638,1655
12,71639,2992
13,71640,1494
14,71642,377
15,71643,599
16,71644,506
17,71646,2836
18,71647,1197
19,71651,163
20,71652,628
21,71653,2502
22,71654,2242
23,71655,6845
24,71658,334
25,71659,62
26,71660,521
27,71661,230
28,71662,49
29,71663,347
30,71665,2686
31,71666,41
32,71667,3561
33,71670,698
34,71671,4115
35,71674,392
36,71675,896
37,71676,438
38,71677,92
39,71701,9877
40,71711,26
41,71720,1302
42,71722,65
43,71724,261
44,71725,365
45,71726,983
46,71730,14828
47,71740,878
48,71742,2789
49,71743,2086
50,71744,1849
51,71745,146
52,71747,752
53,71749,964
54,71751,481
55,71752,562
56,71753,7786
57,71758,232
58,71759,250
59,71762,1159
60,71763,997
61,71764,1018
62,71765,1156
63,71766,372
64,71770,1779
65,71772,19
66,71801,7347
67,71820,64
68,71822,4230
69,71823,41
70,71825,275
71,71826,615
72,71827,429
73,71832,4145
74,71833,1058
75,71834,774
76,71835,650
77,71836,1411
78,71837,2107
79,71838,637
80,71839,216
81,71841,434
82,71842,931
83,71845,1214
84,71846,1379
85,71847,329
86,71851,1089
87,71852,4504
88,71853,189
89,71854,16175
90,71855,387
91,71857,2850
92,71858,942
93,71859,335
94,71860,1422
95,71861,1482
96,71862,420
97,71865,105
98,71866,457
99,71901,14385
100,71909,9128
101,71913,23942
102,71921,1690
103,71922,78
104,71923,7078
105,71929,2121
106,71933,754
107,71935,437
108,71937,997
109,71940,849
110,71941,969
111,71943,2079
112,71944,358
113,71945,674
114,71949,1310
115,71950,584
116,71952,75
117,71953,7339
118,71956,889
119,71957,2419
120,71958,1299
121,71959,398
122,71960,750
123,71961,509
124,71962,469
125,71964,1621
126,71965,168
127,71968,2345
128,71969,210
129,71970,565
130,71971,249
131,71972,150
132,71973,590
133,71998,16
134,71999,0
135,72001,250
136,72002,5717
137,72003,378
138,72004,629
139,72005,116
140,72006,1418
141,72007,2601
142,72010,2884
143,72011,1551
144,72012,4923
145,72013,1098
146,72014,37
147,72015,11259
148,72016,1359
149,72017,413
150,72019,9391
151,72020,1972
152,72021,2170
153,72022,6104
154,72023,13652
155,72024,1720
156,72025,399
157,72026,238
158,72027,631
159,72029,1005
160,72030,348
161,72031,4017
162,72032,13327
163,72034,18778
164,72035,0
165,72036,577
166,72037,17
167,72038,43
168,72039,976
169,72040,1434
170,72041,901
171,72042,2438
172,72044,730
173,72045,522
174,72046,2125
175,72047,403
176,72048,81
177,72051,321
178,72055,521
179,72057,505
180,72058,6212
181,72059,43
182,72060,316
183,72061,96
184,72063,771
185,72064,1139
186,72065,2159
187,72067,2674
188,72068,180
189,72069,1038
190,72070,919
191,72072,246
192,72073,621
193,72074,115
194,72076,16922
195,72079,334
196,72080,417
197,72081,3287
198,72082,895
199,72083,108
200,72084,676
201,72085,111
202,72086,4322
203,72087,975
204,72088,2237
205,72099,0
206,72101,1599
207,72102,1203
208,72103,5289
209,72104,9832
210,72106,2462
211,72107,154
212,72108,39
213,72110,5208
214,72111,596
