,zip_code,population
1,38079,18
2,40003,1902
3,40004,28245
4,40006,5084
5,40007,166
6,40008,3476
7,40009,1051
8,40010,587
9,40011,2549
10,40012,589
11,40013,5369
12,40014,19986
13,40019,3789
14,40020,109
15,40022,834
16,40023,4118
17,40025,59
18,40026,5458
19,40031,22863
20,40033,12355
21,40036,223
22,40037,2864
23,40040,531
24,40041,286
25,40045,3451
26,40046,1741
27,40047,19345
28,40048,113
29,40049,115
30,40050,1389
31,40051,4799
32,40052,515
33,40055,1752
34,40056,3263
35,40057,3354
36,40058,64
37,40059,16708
38,40060,1184
39,40062,301
40,40063,789
41,40065,28025
42,40067,5114
43,40068,2131
44,40069,8276
45,40070,582
46,40071,14292
47,40075,1323
48,40076,2516
49,40077,564
50,40078,2200
51,40104,1336
52,40107,2067
53,40108,11583
54,40109,1990
55,40110,60
56,40111,1682
57,40115,727
58,40117,2299
59,40118,9724
60,40119,1797
61,40121,10124
62,40140,787
63,40142,2304
64,40143,5939
65,40144,1866
66,40145,908
67,40146,3745
68,40150,4103
69,40152,604
70,40155,947
71,40157,876
72,40160,23574
73,40161,178
74,40162,6056
75,40165,32726
76,40170,344
77,40171,243
78,40175,13070
79,40176,931
80,40177,1463
81,40178,468
82,40202,6772
83,40203,19694
84,40204,14236
85,40205,23678
86,40206,18865
87,40207,29745
88,40208,13227
89,40209,360
90,40210,14822
91,40211,22612
92,40212,17685
93,40213,16796
94,40214,45291
95,40215,22287
96,40216,40746
97,40217,12507
98,40218,31658
99,40219,38032
100,40220,33109
101,40222,21359
102,40223,22011
103,40228,15743
104,40229,36852
105,40231,0
106,40241,28988
107,40242,10930
108,40243,10210
109,40245,30109
110,40258,26465
111,40272,37394
112,40280,303
113,40291,35427
114,40299,38371
115,40310,526
116,40311,7153
117,40312,5898
118,40313,3143
119,40316,309
120,40322,3328
121,40324,41342
122,40328,1065
123,40330,19334
124,40334,76
125,40336,13061
126,40337,5501
127,40339,46
128,40342,21125
129,40346,686
130,40347,2767
131,40348,600
132,40350,228
133,40351,20329
134,40353,20779
135,40356,40503
136,40358,904
137,40359,7080
138,40360,6564
139,40361,18220
140,40363,22
141,40370,2763
142,40371,2838
143,40372,2128
144,40374,1702
145,40376,52
146,40379,3288
147,40380,6612
148,40383,22408
149,40385,3131
150,40387,2046
151,40390,7366
152,40391,35262
153,40402,2905
154,40403,23774
155,40404,643
156,40409,3843
157,40419,4621
158,40422,24280
159,40434,34
160,40437,4932
161,40440,2092
162,40442,1136
163,40444,14096
164,40445,997
165,40447,8251
166,40448,53
167,40456,9300
168,40460,1129
169,40461,3121
170,40464,1114
171,40468,1807
172,40472,1679
173,40475,55803
174,40481,218
175,40484,11612
176,40486,2223
177,40489,4109
178,40502,25709
179,40503,28003
180,40504,25655
181,40505,26040
182,40506,2802
183,40507,1757
184,40508,23569
185,40509,32364
186,40510,1928
187,40511,31798
188,40513,10994
189,40514,14647
190,40515,33595
191,40516,2877
192,40517,35227
193,40601,49566
194,40604,462
195,40701,29497
196,40729,5485
197,40734,3764
198,40737,1379
199,40740,3321
200,40741,21875
201,40743,229
202,40744,18334
203,40759,2531
204,40763,469
205,40769,18507
206,40771,1068
207,40801,531
208,40806,2499
209,40807,337
210,40808,99
211,40810,1548
212,40813,669
213,40815,1534
214,40816,78
215,40818,110
216,40819,729
217,40820,581
218,40823,4231
219,40824,559
220,40826,759
221,40827,674
222,40828,3965
223,40829,172
224,40830,301
225,40831,5150
226,40840,312
227,40843,259
228,40844,123
229,40845,635
230,40847,261
231,40849,352
232,40854,1213
233,40855,860
234,40856,756
235,40858,397
236,40862,647
237,40863,502
238,40865,410
239,40868,1100
240,40870,279
241,40873,2390
242,40874,504
243,40902,1239
244,40903,681
245,40906,11132
246,40913,171
247,40914,467
248,40915,896
249,40921,295
250,40923,735
251,40927,482
252,40935,2699
253,40939,273
254,40940,478
255,40941,251
256,40943,748
257,40946,220
258,40949,788
259,40953,998
260,40958,451
261,40962,19143
262,40964,151
263,40965,13570
264,40972,1327
265,40977,10362
266,40979,148
267,40982,388
268,40983,352
269,40988,555
270,40995,121
271,40997,371
272,41001,16412
273,41002,2510
274,41003,2786
275,41004,4122
276,41005,22569
277,41006,4434
278,41007,4193
279,41008,7457
280,41010,3217
281,41011,25872
282,41014,6942
283,41015,20864
284,41016,6075
285,41017,38940
286,41018,27345
287,41030,6299
288,41031,15886
289,41033,1976
290,41034,1032
291,41035,10785
292,41039,2502
293,41040,7265
294,41041,7153
295,41042,49968
296,41043,1745
297,41044,1116
298,41045,1273
299,41046,1414
300,41048,13959
301,41049,2261
302,41051,26796
303,41052,107
304,41055,1813
305,41056,14228
306,41059,2712
307,41062,35
308,41063,3378
309,41064,2073
310,41071,20869
311,41073,5955
312,41074,5338
313,41075,16459
314,41076,16468
315,41080,1849
316,41083,1326
317,41085,724
318,41086,2771
319,41091,16873
320,41092,3514
321,41093,2869
322,41094,13631
323,41095,3540
324,41097,7349
325,41098,2037
326,41099,1169
327,41101,18758
328,41102,21712
329,41121,1852
330,41124,1039
331,41129,9922
332,41132,425
333,41135,172
334,41139,8271
335,41141,2461
336,41142,91
337,41143,14535
338,41144,10279
