,zip_code,population
1,51640,9
2,52542,14
3,52573,8
4,52626,65
5,63005,6384
6,63010,14159
7,63011,14828
8,63012,3659
9,63013,669
10,63014,375
11,63015,842
12,63016,3017
13,63017,17735
14,63019,1937
15,63020,8643
16,63021,22553
17,63023,2506
18,63025,5218
19,63026,17360
20,63028,10756
21,63030,172
22,63031,20039
23,63033,18401
24,63034,6865
25,63036,1783
26,63037,1542
27,63038,2532
28,63039,329
29,63040,3100
30,63041,229
31,63042,9347
32,63043,10030
33,63044,4626
34,63045,3
35,63047,13
36,63048,1404
37,63049,6429
38,63050,6211
39,63051,5656
40,63052,9727
41,63053,29
42,63055,1000
43,63056,933
44,63057,0
45,63060,1056
46,63061,44
47,63068,2160
48,63069,6145
49,63070,3119
50,63071,491
51,63072,1313
52,63073,119
53,63074,7542
54,63077,5213
55,63079,25
56,63080,6427
57,63084,7047
58,63087,345
59,63088,4018
60,63089,2367
61,63090,9232
62,63091,579
63,63101,2085
64,63102,1351
65,63103,5625
66,63104,10840
67,63105,7399
68,63106,5865
69,63107,7090
70,63108,13197
71,63109,14884
72,63110,9404
73,63111,10670
74,63112,11931
75,63113,7160
76,63114,16568
77,63115,11417
78,63116,21983
79,63117,5060
80,63118,14594
81,63119,15446
82,63120,4976
83,63121,12491
84,63122,17320
85,63123,23271
86,63124,4935
87,63125,14961
88,63126,6811
89,63127,2216
90,63128,13134
91,63129,22125
92,63130,14020
93,63131,6416
94,63132,6538
95,63133,3660
96,63134,5731
97,63135,9104
98,63136,21585
99,63137,8771
100,63138,9083
101,63139,12843
102,63140,173
103,63141,9040
104,63143,5708
105,63144,4775
106,63146,15142
107,63147,4745
108,63155,0
109,63301,20603
110,63303,19851
111,63304,14765
112,63330,190
113,63332,575
114,63333,392
115,63334,2831
116,63336,663
117,63339,476
118,63341,1403
119,63343,2118
120,63344,707
121,63345,200
122,63347,1273
123,63348,2365
124,63349,798
125,63350,299
126,63351,796
127,63352,523
128,63353,2344
129,63357,2378
130,63359,675
131,63361,2203
132,63362,2394
133,63363,955
134,63366,17758
135,63367,7958
136,63368,15431
137,63369,886
138,63370,17
139,63373,309
140,63376,27628
141,63377,1049
142,63379,9034
143,63381,244
144,63382,1709
145,63383,6547
146,63384,922
147,63385,12777
148,63386,276
149,63387,31
150,63388,466
151,63389,2520
152,63390,5113
153,63401,9750
154,63430,281
155,63431,167
156,63432,282
157,63433,40
158,63434,317
159,63435,1743
160,63436,658
161,63437,762
162,63438,206
163,63439,78
164,63440,642
165,63441,565
166,63443,259
167,63445,1820
168,63446,363
169,63447,548
170,63448,733
171,63450,69
172,63451,137
173,63452,570
174,63453,219
175,63454,424
176,63456,2290
177,63457,141
178,63458,124
179,63459,1824
180,63460,200
181,63461,2597
182,63462,1056
183,63463,292
184,63464,24
185,63465,207
186,63467,32
187,63468,1319
188,63469,609
189,63471,283
190,63472,275
191,63473,178
192,63474,282
193,63501,9321
194,63530,435
195,63531,334
196,63532,656
197,63533,382
198,63534,428
199,63535,64
200,63536,407
201,63537,1002
202,63538,165
203,63539,145
204,63540,61
205,63541,210
206,63543,185
207,63544,460
208,63545,597
209,63546,741
210,63547,255
211,63548,606
212,63549,1197
213,63551,200
214,63552,3820
215,63555,1553
216,63556,1749
217,63557,204
218,63558,412
219,63559,748
220,63560,136
221,63561,584
222,63563,266
223,63565,2280
224,63566,86
225,63567,117
226,63601,7416
227,63620,997
228,63621,634
229,63622,461
230,63623,389
231,63624,1826
232,63625,284
233,63626,412
234,63627,1289
235,63628,6551
236,63629,640
237,63630,1657
238,63631,421
239,63633,369
240,63636,316
241,63637,585
242,63638,1639
243,63640,10474
244,63645,5486
245,63648,664
246,63650,2115
247,63653,493
248,63654,423
249,63655,786
250,63656,301
251,63660,1410
252,63662,566
253,63663,381
254,63664,3967
255,63665,175
256,63666,37
257,63670,5342
258,63673,978
259,63674,57
260,63675,78
261,63701,15423
262,63703,4243
263,63730,1583
