"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US2138079","ZCTA5 38079 (part), Kentucky","18"
"8710000US2140003","ZCTA5 40003, Kentucky","1902"
"8710000US2140004","ZCTA5 40004, Kentucky","28245"
"8710000US2140006","ZCTA5 40006, Kentucky","5084"
"8710000US2140007","ZCTA5 40007, Kentucky","166"
"8710000US2140008","ZCTA5 40008, Kentucky","3476"
"8710000US2140009","ZCTA5 40009, Kentucky","1051"
"8710000US2140010","ZCTA5 40010, Kentucky","587"
"8710000US2140011","ZCTA5 40011, Kentucky","2549"
"8710000US2140012","ZCTA5 40012, Kentucky","589"
"8710000US2140013","ZCTA5 40013, Kentucky","5369"
"8710000US2140014","ZCTA5 40014, Kentucky","19986"
"8710000US2140019","ZCTA5 40019, Kentucky","3789"
"8710000US2140020","ZCTA5 40020, Kentucky","109"
"8710000US2140022","ZCTA5 40022, Kentucky","834"
"8710000US2140023","ZCTA5 40023, Kentucky","4118"
"8710000US2140025","ZCTA5 40025, Kentucky","59"
"8710000US2140026","ZCTA5 40026, Kentucky","5458"
"8710000US2140031","ZCTA5 40031, Kentucky","22863"
"8710000US2140033","ZCTA5 40033, Kentucky","12355"
"8710000US2140036","ZCTA5 40036, Kentucky","223"
"8710000US2140037","ZCTA5 40037, Kentucky","2864"
"8710000US2140040","ZCTA5 40040, Kentucky","531"
"8710000US2140041","ZCTA5 40041, Kentucky","286"
"8710000US2140045","ZCTA5 40045, Kentucky","3451"
"8710000US2140046","ZCTA5 40046, Kentucky","1741"
"8710000US2140047","ZCTA5 40047, Kentucky","19345"
"8710000US2140048","ZCTA5 40048, Kentucky","113"
"8710000US2140049","ZCTA5 40049, Kentucky","115"
"8710000US2140050","ZCTA5 40050, Kentucky","1389"
"8710000US2140051","ZCTA5 40051, Kentucky","4799"
"8710000US2140052","ZCTA5 40052, Kentucky","515"
"8710000US2140055","ZCTA5 40055, Kentucky","1752"
"8710000US2140056","ZCTA5 40056, Kentucky","3263"
"8710000US2140057","ZCTA5 40057, Kentucky","3354"
"8710000US2140058","ZCTA5 40058, Kentucky","64"
"8710000US2140059","ZCTA5 40059, Kentucky","16708"
"8710000US2140060","ZCTA5 40060, Kentucky","1184"
"8710000US2140062","ZCTA5 40062, Kentucky","301"
"8710000US2140063","ZCTA5 40063, Kentucky","789"
"8710000US2140065","ZCTA5 40065, Kentucky","28025"
"8710000US2140067","ZCTA5 40067, Kentucky","5114"
"8710000US2140068","ZCTA5 40068, Kentucky","2131"
"8710000US2140069","ZCTA5 40069, Kentucky","8276"
"8710000US2140070","ZCTA5 40070, Kentucky","582"
"8710000US2140071","ZCTA5 40071, Kentucky","14292"
"8710000US2140075","ZCTA5 40075, Kentucky","1323"
"8710000US2140076","ZCTA5 40076, Kentucky","2516"
"8710000US2140077","ZCTA5 40077, Kentucky","564"
"8710000US2140078","ZCTA5 40078, Kentucky","2200"
"8710000US2140104","ZCTA5 40104, Kentucky","1336"
"8710000US2140107","ZCTA5 40107, Kentucky","2067"
"8710000US2140108","ZCTA5 40108, Kentucky","11583"
"8710000US2140109","ZCTA5 40109, Kentucky","1990"
"8710000US2140110","ZCTA5 40110, Kentucky","60"
"8710000US2140111","ZCTA5 40111, Kentucky","1682"
"8710000US2140115","ZCTA5 40115, Kentucky","727"
"8710000US2140117","ZCTA5 40117, Kentucky","2299"
"8710000US2140118","ZCTA5 40118, Kentucky","9724"
"8710000US2140119","ZCTA5 40119, Kentucky","1797"
"8710000US2140121","ZCTA5 40121, Kentucky","10124"
"8710000US2140140","ZCTA5 40140, Kentucky","787"
"8710000US2140142","ZCTA5 40142, Kentucky","2304"
"8710000US2140143","ZCTA5 40143, Kentucky","5939"
"8710000US2140144","ZCTA5 40144, Kentucky","1866"
"8710000US2140145","ZCTA5 40145, Kentucky","908"
"8710000US2140146","ZCTA5 40146, Kentucky","3745"
"8710000US2140150","ZCTA5 40150, Kentucky","4103"
"8710000US2140152","ZCTA5 40152, Kentucky","604"
"8710000US2140155","ZCTA5 40155, Kentucky","947"
"8710000US2140157","ZCTA5 40157, Kentucky","876"
"8710000US2140160","ZCTA5 40160, Kentucky","23574"
"8710000US2140161","ZCTA5 40161, Kentucky","178"
"8710000US2140162","ZCTA5 40162, Kentucky","6056"
"8710000US2140165","ZCTA5 40165, Kentucky","32726"
"8710000US2140170","ZCTA5 40170, Kentucky","344"
"8710000US2140171","ZCTA5 40171, Kentucky","243"
"8710000US2140175","ZCTA5 40175, Kentucky","13070"
"8710000US2140176","ZCTA5 40176, Kentucky","931"
"8710000US2140177","ZCTA5 40177, Kentucky","1463"
"8710000US2140178","ZCTA5 40178, Kentucky","468"
"8710000US2140202","ZCTA5 40202, Kentucky","6772"
"8710000US2140203","ZCTA5 40203, Kentucky","19694"
"8710000US2140204","ZCTA5 40204, Kentucky","14236"
"8710000US2140205","ZCTA5 40205, Kentucky","23678"
"8710000US2140206","ZCTA5 40206, Kentucky","18865"
"8710000US2140207","ZCTA5 40207, Kentucky","29745"
"8710000US2140208","ZCTA5 40208, Kentucky","13227"
"8710000US2140209","ZCTA5 40209, Kentucky","360"
"8710000US2140210","ZCTA5 40210, Kentucky","14822"
"8710000US2140211","ZCTA5 40211, Kentucky","22612"
"8710000US2140212","ZCTA5 40212, Kentucky","17685"
"8710000US2140213","ZCTA5 40213, Kentucky","16796"
"8710000US2140214","ZCTA5 40214, Kentucky","45291"
"8710000US2140215","ZCTA5 40215, Kentucky","22287"
"8710000US2140216","ZCTA5 40216, Kentucky","40746"
"8710000US2140217","ZCTA5 40217, Kentucky","12507"
"8710000US2140218","ZCTA5 40218, Kentucky","31658"
"8710000US2140219","ZCTA5 40219, Kentucky","38032"
"8710000US2140220","ZCTA5 40220, Kentucky","33109"
"8710000US2140222","ZCTA5 40222, Kentucky","21359"
"8710000US2140223","ZCTA5 40223, Kentucky","22011"
"8710000US2140228","ZCTA5 40228, Kentucky","15743"
"8710000US2140229","ZCTA5 40229, Kentucky","36852"
"8710000US2140231","ZCTA5 40231, Kentucky","0"
"8710000US2140241","ZCTA5 40241, Kentucky","28988"
"8710000US2140242","ZCTA5 40242, Kentucky","10930"
"8710000US2140243","ZCTA5 40243, Kentucky","10210"
"8710000US2140245","ZCTA5 40245, Kentucky","30109"
"8710000US2140258","ZCTA5 40258, Kentucky","26465"
"8710000US2140272","ZCTA5 40272, Kentucky","37394"
"8710000US2140280","ZCTA5 40280, Kentucky","303"
"8710000US2140291","ZCTA5 40291, Kentucky","35427"
"8710000US2140299","ZCTA5 40299, Kentucky","38371"
"8710000US2140310","ZCTA5 40310, Kentucky","526"
"8710000US2140311","ZCTA5 40311, Kentucky","7153"
"8710000US2140312","ZCTA5 40312, Kentucky","5898"
"8710000US2140313","ZCTA5 40313, Kentucky","3143"
"8710000US2140316","ZCTA5 40316, Kentucky","309"
"8710000US2140322","ZCTA5 40322, Kentucky","3328"
"8710000US2140324","ZCTA5 40324, Kentucky","41342"
"8710000US2140328","ZCTA5 40328, Kentucky","1065"
