"GEO_ID","NAME","H001001"
"id","Geographic Area Name","Total"
"8710000US2951640","ZCTA5 51640 (part), Missouri","9"
"8710000US2952542","ZCTA5 52542 (part), Missouri","14"
"8710000US2952573","ZCTA5 52573 (part), Missouri","8"
"8710000US2952626","ZCTA5 52626 (part), Missouri","65"
"8710000US2963005","ZCTA5 63005, Missouri","6384"
"8710000US2963010","ZCTA5 63010, Missouri","14159"
"8710000US2963011","ZCTA5 63011, Missouri","14828"
"8710000US2963012","ZCTA5 63012, Missouri","3659"
"8710000US2963013","ZCTA5 63013, Missouri","669"
"8710000US2963014","ZCTA5 63014, Missouri","375"
"8710000US2963015","ZCTA5 63015, Missouri","842"
"8710000US2963016","ZCTA5 63016, Missouri","3017"
"8710000US2963017","ZCTA5 63017, Missouri","17735"
"8710000US2963019","ZCTA5 63019, Missouri","1937"
"8710000US2963020","ZCTA5 63020, Missouri","8643"
"8710000US2963021","ZCTA5 63021, Missouri","22553"
"8710000US2963023","ZCTA5 63023, Missouri","2506"
"8710000US2963025","ZCTA5 63025, Missouri","5218"
"8710000US2963026","ZCTA5 63026, Missouri","17360"
"8710000US2963028","ZCTA5 63028, Missouri","10756"
"8710000US2963030","ZCTA5 63030, Missouri","172"
"8710000US2963031","ZCTA5 63031, Missouri","20039"
"8710000US2963033","ZCTA5 63033, Missouri","18401"
"8710000US2963034","ZCTA5 63034, Missouri","6865"
"8710000US2963036","ZCTA5 63036, Missouri","1783"
"8710000US2963037","ZCTA5 63037, Missouri","1542"
"8710000US2963038","ZCTA5 63038, Missouri","2532"
"8710000US2963039","ZCTA5 63039, Missouri","329"
"8710000US2963040","ZCTA5 63040, Missouri","3100"
"8710000US2963041","ZCTA5 63041, Missouri","229"
"8710000US2963042","ZCTA5 63042, Missouri","9347"
"8710000US2963043","ZCTA5 63043, Missouri","10030"
"8710000US2963044","ZCTA5 63044, Missouri","4626"
"8710000US2963045","ZCTA5 63045, Missouri","3"
"8710000US2963047","ZCTA5 63047, Missouri","13"
"8710000US2963048","ZCTA5 63048, Missouri","1404"
"8710000US2963049","ZCTA5 63049, Missouri","6429"
"8710000US2963050","ZCTA5 63050, Missouri","6211"
"8710000US2963051","ZCTA5 63051, Missouri","5656"
"8710000US2963052","ZCTA5 63052, Missouri","9727"
"8710000US2963053","ZCTA5 63053, Missouri","29"
"8710000US2963055","ZCTA5 63055, Missouri","1000"
"8710000US2963056","ZCTA5 63056, Missouri","933"
"8710000US2963057","ZCTA5 63057, Missouri","0"
"8710000US2963060","ZCTA5 63060, Missouri","1056"
"8710000US2963061","ZCTA5 63061, Missouri","44"
"8710000US2963068","ZCTA5 63068, Missouri","2160"
"8710000US2963069","ZCTA5 63069, Missouri","6145"
"8710000US2963070","ZCTA5 63070, Missouri","3119"
"8710000US2963071","ZCTA5 63071, Missouri","491"
"8710000US2963072","ZCTA5 63072, Missouri","1313"
"8710000US2963073","ZCTA5 63073, Missouri","119"
"8710000US2963074","ZCTA5 63074, Missouri","7542"
"8710000US2963077","ZCTA5 63077, Missouri","5213"
