"GEO_ID","NAME","H001001"
"id","Geographic Area Name","Total"
"8710000US2838326","ZCTA5 38326 (part), Mississippi","86"
"8710000US2838601","ZCTA5 38601, Mississippi","1070"
"8710000US2838603","ZCTA5 38603, Mississippi","1546"
"8710000US2838606","ZCTA5 38606, Mississippi","6737"
"8710000US2838610","ZCTA5 38610, Mississippi","1461"
"8710000US2838611","ZCTA5 38611, Mississippi","6926"
"8710000US2838614","ZCTA5 38614, Mississippi","8179"
"8710000US2838617","ZCTA5 38617, Mississippi","337"
"8710000US2838618","ZCTA5 38618, Mississippi","4805"
"8710000US2838619","ZCTA5 38619, Mississippi","2442"
"8710000US2838620","ZCTA5 38620, Mississippi","1311"
"8710000US2838621","ZCTA5 38621, Mississippi","786"
"8710000US2838622","ZCTA5 38622, Mississippi","312"
"8710000US2838623","ZCTA5 38623, Mississippi","112"
"8710000US2838625","ZCTA5 38625, Mississippi","476"
"8710000US2838626","ZCTA5 38626, Mississippi","713"
"8710000US2838627","ZCTA5 38627, Mississippi","495"
"8710000US2838629","ZCTA5 38629, Mississippi","755"
"8710000US2838630","ZCTA5 38630, Mississippi","55"
"8710000US2838631","ZCTA5 38631, Mississippi","520"
"8710000US2838632","ZCTA5 38632, Mississippi","9533"
"8710000US2838633","ZCTA5 38633, Mississippi","1147"
"8710000US2838635","ZCTA5 38635, Mississippi","6162"
"8710000US2838637","ZCTA5 38637, Mississippi","9705"
"8710000US2838639","ZCTA5 38639, Mississippi","445"
"8710000US2838641","ZCTA5 38641, Mississippi","862"
"8710000US2838642","ZCTA5 38642, Mississippi","959"
"8710000US2838643","ZCTA5 38643, Mississippi","1112"
"8710000US2838644","ZCTA5 38644, Mississippi","87"
"8710000US2838645","ZCTA5 38645, Mississippi","595"
"8710000US2838646","ZCTA5 38646, Mississippi","1373"
"8710000US2838647","ZCTA5 38647, Mississippi","522"
"8710000US2838650","ZCTA5 38650, Mississippi","1683"
"8710000US2838651","ZCTA5 38651, Mississippi","2736"
"8710000US2838652","ZCTA5 38652, Mississippi","6951"
"8710000US2838654","ZCTA5 38654, Mississippi","17347"
"8710000US2838655","ZCTA5 38655, Mississippi","19405"
"8710000US2838658","ZCTA5 38658, Mississippi","997"
"8710000US2838659","ZCTA5 38659, Mississippi","1209"
"8710000US2838661","ZCTA5 38661, Mississippi","815"
"8710000US2838663","ZCTA5 38663, Mississippi","5207"
"8710000US2838664","ZCTA5 38664, Mississippi","1687"
"8710000US2838665","ZCTA5 38665, Mississippi","1050"
"8710000US2838666","ZCTA5 38666, Mississippi","3050"
"8710000US2838668","ZCTA5 38668, Mississippi","5222"
"8710000US2838670","ZCTA5 38670, Mississippi","506"
"8710000US2838671","ZCTA5 38671, Mississippi","14400"
"8710000US2838672","ZCTA5 38672, Mississippi","3896"
"8710000US2838673","ZCTA5 38673, Mississippi","328"
"8710000US2838674","ZCTA5 38674, Mississippi","431"
"8710000US2838676","ZCTA5 38676, Mississippi","2671"
"8710000US2838677","ZCTA5 38677, Mississippi","79"
"8710000US2838680","ZCTA5 38680, Mississippi","2361"
"8710000US2838683","ZCTA5 38683, Mississippi","2627"
"8710000US2838685","ZCTA5 38685, Mississippi","619"
"8710000US2838701","ZCTA5 38701, Mississippi","10484"
"8710000US2838702","ZCTA5 38702, Mississippi","16"
"8710000US2838703","ZCTA5 38703, Mississippi","5920"
"8710000US2838704","ZCTA5 38704, Mississippi","16"
"8710000US2838720","ZCTA5 38720, Mississippi","312"
"8710000US2838721","ZCTA5 38721, Mississippi","557"
"8710000US2838722","ZCTA5 38722, Mississippi","240"
"8710000US2838723","ZCTA5 38723, Mississippi","21"
"8710000US2838725","ZCTA5 38725, Mississippi","491"
"8710000US2838726","ZCTA5 38726, Mississippi","231"
"8710000US2838730","ZCTA5 38730, Mississippi","691"
"8710000US2838731","ZCTA5 38731, Mississippi","77"
"8710000US2838732","ZCTA5 38732, Mississippi","7171"
"8710000US2838736","ZCTA5 38736, Mississippi","181"
"8710000US2838737","ZCTA5 38737, Mississippi","1201"
"8710000US2838738","ZCTA5 38738, Mississippi","85"
"8710000US2838740","ZCTA5 38740, Mississippi","189"
"8710000US2838744","ZCTA5 38744, Mississippi","299"
"8710000US2838745","ZCTA5 38745, Mississippi","64"
"8710000US2838746","ZCTA5 38746, Mississippi","271"
"8710000US2838748","ZCTA5 38748, Mississippi","1642"
"8710000US2838749","ZCTA5 38749, Mississippi","12"
"8710000US2838751","ZCTA5 38751, Mississippi","4379"
"8710000US2838753","ZCTA5 38753, Mississippi","616"
"8710000US2838754","ZCTA5 38754, Mississippi","681"
"8710000US2838756","ZCTA5 38756, Mississippi","2819"
"8710000US2838759","ZCTA5 38759, Mississippi","530"
"8710000US2838760","ZCTA5 38760, Mississippi","368"
"8710000US2838761","ZCTA5 38761, Mississippi","878"
"8710000US2838762","ZCTA5 38762, Mississippi","980"
"8710000US2838764","ZCTA5 38764, Mississippi","174"
"8710000US2838765","ZCTA5 38765, Mississippi","79"
"8710000US2838767","ZCTA5 38767, Mississippi","36"
"8710000US2838768","ZCTA5 38768, Mississippi","79"
"8710000US2838769","ZCTA5 38769 (part), Mississippi","947"
"8710000US2838771","ZCTA5 38771, Mississippi","1195"
"8710000US2838772","ZCTA5 38772, Mississippi","73"
"8710000US2838773","ZCTA5 38773, Mississippi","1448"
"8710000US2838774","ZCTA5 38774, Mississippi","1012"
"8710000US2838778","ZCTA5 38778, Mississippi","608"
"8710000US2838781","ZCTA5 38781, Mississippi","130"
"8710000US2838801","ZCTA5 38801, Mississippi","12984"
"8710000US2838804","ZCTA5 38804, Mississippi","7936"
"8710000US2838821","ZCTA5 38821, Mississippi","5662"
"8710000US2838824","ZCTA5 38824, Mississippi","3449"
"8710000US2838826","ZCTA5 38826, Mississippi","1987"
"8710000US2838827","ZCTA5 38827, Mississippi","1236"
"8710000US2838828","ZCTA5 38828, Mississippi","1710"
"8710000US2838829","ZCTA5 38829, Mississippi","8071"
"8710000US2838833","ZCTA5 38833, Mississippi","1132"
"8710000US2838834","ZCTA5 38834, Mississippi","13499"
"8710000US2838838","ZCTA5 38838, Mississippi","757"
"8710000US2838841","ZCTA5 38841, Mississippi","1143"
"8710000US2838843","ZCTA5 38843, Mississippi","4877"
"8710000US2838844","ZCTA5 38844, Mississippi","75"
"8710000US2838846","ZCTA5 38846, Mississippi","1048"
"8710000US2838847","ZCTA5 38847, Mississippi","1573"
"8710000US2838848","ZCTA5 38848, Mississippi","386"
"8710000US2838849","ZCTA5 38849, Mississippi","2278"
"8710000US2838850","ZCTA5 38850, Mississippi","1334"
"8710000US2838851","ZCTA5 38851, Mississippi","3568"
"8710000US2838852","ZCTA5 38852 (part), Mississippi","5427"
"8710000US2838855","ZCTA5 38855, Mississippi","2026"
"8710000US2838856","ZCTA5 38856, Mississippi","819"
"8710000US2838857","ZCTA5 38857, Mississippi","1278"
"8710000US2838858","ZCTA5 38858, Mississippi","3051"
"8710000US2838859","ZCTA5 38859, Mississippi","400"
"8710000US2838860","ZCTA5 38860, Mississippi","2501"
"8710000US2838862","ZCTA5 38862, Mississippi","1158"
"8710000US2838863","ZCTA5 38863, Mississippi","8196"
"8710000US2838864","ZCTA5 38864, Mississippi","749"
"8710000US2838865","ZCTA5 38865, Mississippi","2107"
"8710000US2838866","ZCTA5 38866, Mississippi","4944"
"8710000US2838868","ZCTA5 38868, Mississippi","2396"
"8710000US2838869","ZCTA5 38869, Mississippi","204"
"8710000US2838870","ZCTA5 38870, Mississippi","1378"
"8710000US2838871","ZCTA5 38871, Mississippi","691"
"8710000US2838873","ZCTA5 38873, Mississippi","1327"
"8710000US2838876","ZCTA5 38876, Mississippi","621"
"8710000US2838878","ZCTA5 38878, Mississippi","1158"
"8710000US2838879","ZCTA5 38879, Mississippi","370"
"8710000US2838901","ZCTA5 38901, Mississippi","8343"
"8710000US2838913","ZCTA5 38913, Mississippi","193"
"8710000US2838914","ZCTA5 38914, Mississippi","260"
"8710000US2838915","ZCTA5 38915, Mississippi","1926"
"8710000US2838916","ZCTA5 38916, Mississippi","2412"
"8710000US2838917","ZCTA5 38917, Mississippi","1613"
"8710000US2838920","ZCTA5 38920, Mississippi","374"
"8710000US2838921","ZCTA5 38921, Mississippi","2133"
"8710000US2838922","ZCTA5 38922, Mississippi","1950"
"8710000US2838923","ZCTA5 38923, Mississippi","612"
"8710000US2838924","ZCTA5 38924, Mississippi","368"
"8710000US2838925","ZCTA5 38925, Mississippi","1132"
"8710000US2838927","ZCTA5 38927, Mississippi","493"
"8710000US2838928","ZCTA5 38928, Mississippi","179"
"8710000US2838929","ZCTA5 38929, Mississippi","684"
"8710000US2838930","ZCTA5 38930, Mississippi","10483"
"8710000US2838940","ZCTA5 38940, Mississippi","998"
"8710000US2838941","ZCTA5 38941, Mississippi","1956"
"8710000US2838943","ZCTA5 38943, Mississippi","258"
"8710000US2838944","ZCTA5 38944, Mississippi","236"
"8710000US2838945","ZCTA5 38945, Mississippi","15"
"8710000US2838946","ZCTA5 38946, Mississippi","151"
"8710000US2838947","ZCTA5 38947, Mississippi","219"
"8710000US2838948","ZCTA5 38948, Mississippi","1297"
"8710000US2838949","ZCTA5 38949, Mississippi","135"
"8710000US2838950","ZCTA5 38950, Mississippi","185"
"8710000US2838951","ZCTA5 38951, Mississippi","587"
"8710000US2838952","ZCTA5 38952, Mississippi","274"
"8710000US2838953","ZCTA5 38953, Mississippi","386"
"8710000US2838954","ZCTA5 38954, Mississippi","630"
"8710000US2838957","ZCTA5 38957, Mississippi","340"
"8710000US2838958","ZCTA5 38958, Mississippi","37"
"8710000US2838961","ZCTA5 38961, Mississippi","386"
"8710000US2838962","ZCTA5 38962, Mississippi","64"
"8710000US2838963","ZCTA5 38963, Mississippi","631"
"8710000US2838964","ZCTA5 38964, Mississippi","57"
"8710000US2838965","ZCTA5 38965, Mississippi","4252"
"8710000US2838966","ZCTA5 38966, Mississippi","453"
"8710000US2838967","ZCTA5 38967, Mississippi","3376"
"8710000US2839038","ZCTA5 39038, Mississippi","2454"
"8710000US2839039","ZCTA5 39039, Mississippi","941"
"8710000US2839040","ZCTA5 39040, Mississippi","1421"
"8710000US2839041","ZCTA5 39041, Mississippi","1428"
