"GEO_ID","NAME","H001001"
"id","Geographic Area Name","Total"
"8710000US3727006","ZCTA5 27006, North Carolina","6358"
"8710000US3727007","ZCTA5 27007, North Carolina","924"
"8710000US3727009","ZCTA5 27009, North Carolina","1113"
"8710000US3727011","ZCTA5 27011, North Carolina","2608"
"8710000US3727012","ZCTA5 27012, North Carolina","10731"
"8710000US3727013","ZCTA5 27013, North Carolina","2562"
"8710000US3727014","ZCTA5 27014, North Carolina","407"
"8710000US3727016","ZCTA5 27016, North Carolina","964"
"8710000US3727017","ZCTA5 27017, North Carolina","4020"
"8710000US3727018","ZCTA5 27018, North Carolina","3472"
"8710000US3727019","ZCTA5 27019, North Carolina","1818"
"8710000US3727020","ZCTA5 27020, North Carolina","2826"
"8710000US3727021","ZCTA5 27021, North Carolina","7967"
"8710000US3727022","ZCTA5 27022, North Carolina","751"
"8710000US3727023","ZCTA5 27023, North Carolina","4977"
"8710000US3727024","ZCTA5 27024, North Carolina","1379"
"8710000US3727025","ZCTA5 27025, North Carolina","5055"
"8710000US3727027","ZCTA5 27027, North Carolina","2196"
"8710000US3727028","ZCTA5 27028, North Carolina","11278"
"8710000US3727030","ZCTA5 27030, North Carolina","17735"
"8710000US3727040","ZCTA5 27040, North Carolina","4627"
"8710000US3727041","ZCTA5 27041, North Carolina","3511"
"8710000US3727042","ZCTA5 27042, North Carolina","378"
"8710000US3727043","ZCTA5 27043, North Carolina","3044"
"8710000US3727045","ZCTA5 27045, North Carolina","3828"
"8710000US3727046","ZCTA5 27046, North Carolina","1014"
"8710000US3727047","ZCTA5 27047, North Carolina","532"
"8710000US3727048","ZCTA5 27048, North Carolina","3792"
"8710000US3727050","ZCTA5 27050, North Carolina","1727"
"8710000US3727051","ZCTA5 27051, North Carolina","3197"
"8710000US3727052","ZCTA5 27052, North Carolina","4919"
"8710000US3727053","ZCTA5 27053, North Carolina","1566"
"8710000US3727054","ZCTA5 27054, North Carolina","1050"
"8710000US3727055","ZCTA5 27055, North Carolina","6227"
"8710000US3727101","ZCTA5 27101, North Carolina","9666"
"8710000US3727103","ZCTA5 27103, North Carolina","16906"
"8710000US3727104","ZCTA5 27104, North Carolina","14436"
"8710000US3727105","ZCTA5 27105, North Carolina","17161"
"8710000US3727106","ZCTA5 27106, North Carolina","21106"
"8710000US3727107","ZCTA5 27107, North Carolina","18890"
"8710000US3727109","ZCTA5 27109, North Carolina","0"
"8710000US3727110","ZCTA5 27110, North Carolina","0"
"8710000US3727127","ZCTA5 27127, North Carolina","15310"
"8710000US3727201","ZCTA5 27201, North Carolina","35"
"8710000US3727203","ZCTA5 27203, North Carolina","9572"
"8710000US3727205","ZCTA5 27205, North Carolina","13853"
"8710000US3727207","ZCTA5 27207, North Carolina","1714"
"8710000US3727208","ZCTA5 27208, North Carolina","795"
"8710000US3727209","ZCTA5 27209, North Carolina","1514"
"8710000US3727212","ZCTA5 27212, North Carolina","702"
"8710000US3727214","ZCTA5 27214, North Carolina","4143"
"8710000US3727215","ZCTA5 27215, North Carolina","18976"
"8710000US3727217","ZCTA5 27217, North Carolina","15633"
"8710000US3727229","ZCTA5 27229, North Carolina","1620"
"8710000US3727231","ZCTA5 27231, North Carolina","962"
"8710000US3727233","ZCTA5 27233, North Carolina","1442"
"8710000US3727235","ZCTA5 27235, North Carolina","1814"
"8710000US3727239","ZCTA5 27239, North Carolina","4261"
"8710000US3727242","ZCTA5 27242, North Carolina","1031"
"8710000US3727243","ZCTA5 27243, North Carolina","1837"
"8710000US3727244","ZCTA5 27244, North Carolina","5049"
"8710000US3727248","ZCTA5 27248, North Carolina","1937"
"8710000US3727249","ZCTA5 27249, North Carolina","5491"
"8710000US3727252","ZCTA5 27252, North Carolina","973"
"8710000US3727253","ZCTA5 27253, North Carolina","13187"
"8710000US3727258","ZCTA5 27258, North Carolina","2628"
"8710000US3727260","ZCTA5 27260, North Carolina","10903"
"8710000US3727262","ZCTA5 27262, North Carolina","10802"
"8710000US3727263","ZCTA5 27263, North Carolina","9382"
"8710000US3727265","ZCTA5 27265, North Carolina","20774"
"8710000US3727278","ZCTA5 27278, North Carolina","10286"
"8710000US3727281","ZCTA5 27281, North Carolina","1356"
"8710000US3727282","ZCTA5 27282, North Carolina","6692"
"8710000US3727283","ZCTA5 27283, North Carolina","1388"
"8710000US3727284","ZCTA5 27284, North Carolina","22239"
"8710000US3727288","ZCTA5 27288, North Carolina","11813"
"8710000US3727291","ZCTA5 27291, North Carolina","1002"
"8710000US3727292","ZCTA5 27292, North Carolina","18550"
"8710000US3727295","ZCTA5 27295, North Carolina","16528"
"8710000US3727298","ZCTA5 27298, North Carolina","4633"
"8710000US3727299","ZCTA5 27299, North Carolina","2211"
"8710000US3727301","ZCTA5 27301, North Carolina","3569"
"8710000US3727302","ZCTA5 27302, North Carolina","11467"
"8710000US3727305","ZCTA5 27305, North Carolina","792"
"8710000US3727306","ZCTA5 27306, North Carolina","4753"
"8710000US3727310","ZCTA5 27310, North Carolina","2424"
"8710000US3727311","ZCTA5 27311, North Carolina","1607"
"8710000US3727312","ZCTA5 27312, North Carolina","8666"
"8710000US3727313","ZCTA5 27313, North Carolina","2839"
"8710000US3727314","ZCTA5 27314, North Carolina","509"
"8710000US3727315","ZCTA5 27315, North Carolina","1058"
