"GEO_ID","NAME","H001001"
"id","Geographic Area Name","Total"
"8710000US5120105","ZCTA5 20105, Virginia","3855"
"8710000US5120106","ZCTA5 20106, Virginia","2040"
"8710000US5120109","ZCTA5 20109, Virginia","13584"
"8710000US5120110","ZCTA5 20110, Virginia","14714"
"8710000US5120111","ZCTA5 20111, Virginia","10074"
"8710000US5120112","ZCTA5 20112, Virginia","8448"
"8710000US5120115","ZCTA5 20115, Virginia","2522"
"8710000US5120117","ZCTA5 20117, Virginia","1469"
"8710000US5120118","ZCTA5 20118, Virginia","3"
"8710000US5120119","ZCTA5 20119, Virginia","1515"
"8710000US5120120","ZCTA5 20120, Virginia","14217"
"8710000US5120121","ZCTA5 20121, Virginia","10357"
"8710000US5120124","ZCTA5 20124, Virginia","5052"
"8710000US5120129","ZCTA5 20129, Virginia","216"
"8710000US5120130","ZCTA5 20130, Virginia","161"
"8710000US5120132","ZCTA5 20132, Virginia","5466"
"8710000US5120135","ZCTA5 20135 (part), Virginia","1293"
"8710000US5120136","ZCTA5 20136, Virginia","8483"
"8710000US5120137","ZCTA5 20137, Virginia","580"
"8710000US5120139","ZCTA5 20139, Virginia","100"
"8710000US5120141","ZCTA5 20141, Virginia","2116"
"8710000US5120143","ZCTA5 20143, Virginia","408"
"8710000US5120144","ZCTA5 20144, Virginia","496"
"8710000US5120147","ZCTA5 20147, Virginia","19719"
"8710000US5120148","ZCTA5 20148, Virginia","9170"
"8710000US5120151","ZCTA5 20151, Virginia","6828"
"8710000US5120152","ZCTA5 20152, Virginia","7876"
"8710000US5120155","ZCTA5 20155, Virginia","10357"
"8710000US5120158","ZCTA5 20158, Virginia","1588"
"8710000US5120164","ZCTA5 20164, Virginia","12565"
"8710000US5120165","ZCTA5 20165, Virginia","11774"
"8710000US5120166","ZCTA5 20166, Virginia","3464"
"8710000US5120169","ZCTA5 20169, Virginia","6746"
"8710000US5120170","ZCTA5 20170, Virginia","13713"
"8710000US5120171","ZCTA5 20171, Virginia","16823"
"8710000US5120175","ZCTA5 20175, Virginia","10083"
"8710000US5120176","ZCTA5 20176, Virginia","16166"
"8710000US5120180","ZCTA5 20180, Virginia","2395"
"8710000US5120181","ZCTA5 20181, Virginia","2758"
"8710000US5120184","ZCTA5 20184, Virginia","471"
"8710000US5120186","ZCTA5 20186, Virginia","5977"
"8710000US5120187","ZCTA5 20187, Virginia","5343"
"8710000US5120190","ZCTA5 20190, Virginia","9231"
"8710000US5120191","ZCTA5 20191, Virginia","12071"
"8710000US5120194","ZCTA5 20194, Virginia","5900"
"8710000US5120197","ZCTA5 20197, Virginia","661"
"8710000US5120198","ZCTA5 20198, Virginia","1229"
"8710000US5122003","ZCTA5 22003, Virginia","19923"
"8710000US5122015","ZCTA5 22015, Virginia","15133"
"8710000US5122025","ZCTA5 22025, Virginia","6235"
"8710000US5122026","ZCTA5 22026, Virginia","4737"
